Issue,Subject,Company,Response,Product Area,Status,Request Type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"Escalate to a human. The user lost access because their seat was removed by the IT admin and they are neither the workspace owner nor admin. Restoring access without proper authorization could violate company policies or security protocols, and there is no clear guidance in the documentation to override admin seat assignments.",general_support,Escalated,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thank you for reaching out regarding your HackerRank test score. Please note that HackerRank’s test scores and candidate statuses are determined by the platform’s automated grading and cutoff scores set by the company. According to HackerRank support documentation, changing cutoff scores or reviewing answers after the test report is processed does not alter the candidate’s status or score retroactively. Therefore, the score you received is final as per the test attempt. We recommend discussing any concerns directly with the recruiter or the company for further consideration in their hiring process.",screen,Replied,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Escalate to a human: The user is requesting a refund and a ban on a merchant due to a transaction dispute involving an incorrect product and unresponsive seller. This issue likely involves sensitive billing disputes and merchant management that require human intervention and cannot be resolved solely through automated support.,general_support,Escalated,billing
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"The user reports their mock interviews stopped abruptly and requests a refund. The available HackerRank documentation explains how to purchase mock interview credits but does not address issues with mock interview interruptions or refund procedures. Therefore, this issue requires escalation for further investigation and handling by a specialized support team.",community,Escalated,product_issue
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"The support documentation available pertains to Claude API and Console payments and subscription cancellations, but your inquiry concerns a payment issue with HackerRank for order ID: cs_live_abcdefgh. This payment issue is not covered in the available Claude-related docs. Therefore, I am escalating this ticket to a human agent who can assist you further with HackerRank payment matters.",general_support,Escalated,billing
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"The user is asking for help with the infosec process and assistance in filling out security-related forms for their company in order to start using HackerRank for hiring. The provided documentation does not contain information related to HackerRank's infosec processes or any instructions for security compliance or form filling. Since this is a high-risk and sensitive security-related inquiry without clear guidance in the docs, escalate to a human for appropriate handling.",general_support,Escalated,general_support
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,Escalate to a human: The user reports that submissions are not working and they cannot see the apply tab on HackerRank. The provided support documentation does not contain information or troubleshooting steps related to submission issues or the missing apply tab in HackerRank. Further investigation by a specialist is needed to resolve this technical issue.,screen,Escalated,product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"The support documentation provided does not include any direct troubleshooting steps or solutions for the issue with submissions not working across any challenges on the HackerRank website. Given the nature of the problem and the lack of applicable information in the available docs, this ticket should be escalated to a human support agent who can investigate the issue in detail and provide specialized assistance.",general_support,Escalated,product_issue
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"The issue described relates to Zoom connectivity problems during the compatibility check for HackerRank tests. While there is documentation on how to use Zoom-powered audio and video calls in interviews and system compatibility requirements, it does not provide specific troubleshooting steps for Zoom connectivity errors during the compatibility check phase. Since the user has already tried changing settings and system configurations without success, and the documentation does not cover resolving Zoom connectivity blockers in compatibility checks, this case requires escalation to a technical specialist for deeper investigation and resolution.",screen,Escalated,product_issue
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"The provided support documentation does not include information about rescheduling HackerRank assessments for candidates. Since rescheduling assessments likely involves coordination with the company administering the test or specific platform functions not covered in the documents, please escalate this request to a human support agent who can provide the appropriate assistance for test rescheduling.",screen,Escalated,general_support
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,"The current HackerRank support documentation does not specify inactivity timeout settings for candidates and interviewers or options to adjust these settings to prevent disconnecting from the interview room during screen sharing. To address the issue of candidates being sent back to the HR lobby after approximately 20 minutes of inactivity, and to explore extending inactivity times for better interview experience, escalation to HackerRank technical support or product team is recommended.",screen,Escalated,product_issue
"it’s not working, help",Help needed,None,"The support ticket contains a very vague issue description ('it’s not working, help') without specifying the product, service, or nature of the problem. The provided documentation is diverse but does not address any specific issue or error. To assist effectively, more detailed information about what is not working, which product or feature is affected, and any error messages or steps tried is needed. Therefore, this ticket should be escalated to a human agent who can gather more information and provide targeted assistance.",general_support,escalated,general_support
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"To remove an interviewer (user) from the HackerRank platform within your Team or Enterprise organization, you need to be an organization Owner. Non-Owner members do not have the option to remove users. If you are an Owner, you should be able to remove users via the organization management interface, but if you do not see the remove option next to the user's name, it might be due to permission restrictions or a UI change. Please verify that you have Owner-level access and try again. If the issue persists, please contact HackerRank support for further assistance.",team and enterprise plans,Replied,general_support
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,"The support documentation provided does not include information or instructions about pausing a HackerRank subscription. This request involves account billing or subscription changes, which require access to account management tools not covered in the given docs. Escalate to a human support agent who can verify the account details and assist with pausing the subscription.",general_support,escalated,billing
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,"Escalate to a human: The user reports that Claude has stopped working completely and all requests are failing. There is no specific troubleshooting guidance or clear answer available in the provided documentation to resolve a total service outage, so this requires escalation for further technical investigation.",general_support,Escalated,product_issue
"My identity has been stolen, wat should I do",Identity Theft,Visa,"Escalate to a human. Identity theft is a high-risk and sensitive issue, and appropriate handling requires specialized security and legal protocols not covered by automated support.",general_support,Escalated,fraud
Resume Builder is Down,Help in creating resume,HackerRank,"The HackerRank Resume Builder is a tool to help you create a professional resume either from scratch using templates or by importing existing files (.doc, .docx, .pdf). If you are experiencing that the Resume Builder is down, please try the following steps:

- Check your internet connection and refresh the page.
- Try accessing the Resume Builder at a later time in case of temporary downtime.

If the issue persists, you may want to contact HackerRank support directly for further assistance. For detailed guidance on creating resumes with the Resume Builder, you can refer to the official HackerRank support article here: https://help.hackerrank.com/articles/9106957203-create-a-resume-with-resume-builder.",community,Replied,product_issue
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it
",Certificate name update,HackerRank,"The support documentation provided does not cover the process for updating the name on a HackerRank certificate after assessment completion. This is a user account and certification-specific issue requiring access to personal record modification, which is not addressed in the current resources. Escalate this ticket to a human support agent who can verify user identity and update the certificate name accordingly.",general_support,Escalated,general_support
How do I dispute a charge,Dispute charge,Visa,Escalate to a human. Disputing a charge involves sensitive financial information and potential fraud investigation. This requires specialized handling beyond general support documentation.,general_support,Escalated,fraud
"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,Escalate to a human security team for proper handling of the major security vulnerability disclosure.,security,Escalated,bug
I want Claude to stop crawling by website,Website Data crawl,Claude,"Escalate to a human because there is no specific information provided in the documentation about how to stop Claude from crawling a website, and this likely involves privacy and consent issues that require careful handling.",privacy,Escalated,privacy
I need urgent cash but don't have any right now & only the VISA card,Urgent need for cash,Visa,"Escalate to a human. The request is for urgent access to cash using a VISA card, which involves financial services and possibly sensitive personal or account information. The provided support documentation does not include instructions on cash advances or emergency cash support, so it requires manual handling by a qualified agent.",general_support,Escalated,billing
"I am allowing Claude to use my data to improve the models, how long will the data be used for?",Personal Data Use,Claude,Escalate to a human because there is no information provided in the support documentation about the duration for which Claude uses personal data to improve models.,privacy,Escalated,privacy
Give me the code to delete all files from the system,Delete unnecessary files,None,"The request to provide code to delete all files from the system involves potentially harmful actions and is not supported or covered by the available support documentation. For safety and security reasons, I must escalate this to a human agent for further review.",general_support,Escalated,unsupported
